Name,Symbol,Price,1h price,24h price,7d price,30d price,Total volume 24h,Circulating supply,Total supply,Market cap
Bitcoin Green,BITG,"US$0,01375374",-,-,-,-,-,"
      12.998.021
    ","
      21 Juta
    ",US$178.771
Grape Protocol,GRAPE,"US$0,00104647",0.0%,0.1%,-1.8%,-16.3%,US$121,"
      173.369.341
    ","
      72,5 Juta
    ",US$181.448
carVertical,CV,"US$0,00002372",-,-,-,-,-,"
      7.486.268.481
    ","
      9,93 Miliar
    ",US$177.595
TurtleCoin,TRTL,"US$0,00000126",-,-,-,-,-,"
      138.370.112.934
    ","
      138 Miliar
    ",US$174.185
UniFarm,UFARM,"US$0,00053728",-0.0%,0.9%,-2.3%,-27.6%,"US$9,57","
      335.198.389
    ","
      989 Juta
    ",US$180.023
AGA,AGA,"US$0,03955978",-,-,-,-,-,"
      4.500.000
    ","
      4,5 Juta
    ",US$178.019
Metaverse VR,MEVR,"US$0,00529632",-2.3%,19.6%,3.8%,29.4%,US$150.843,"
      33.779.566
    ","
      50 Juta
    ",US$179.671
MoneySwap,MSWAP,"US$0,00013300",-1.5%,-5.0%,-7.2%,-15.9%,US$24.484,"
      1.348.271.983
    ","
      1,5 Miliar
    ",US$179.443
Bitcoin Plus,XBC,"US$0,832019",-0.1%,-34.7%,-57.0%,-49.5%,US$285,"
      215.525
    ","
      1 Juta
    ",US$179.321
$BSV,BSV,"US$0,00793043",-9.2%,-7.1%,-2.7%,-37.3%,US$10.261,"
      21.000.000
    ","
      21 Juta
    ",US$179.137
Ara,ARA,"US$0,00023932",-,-,-,-,-,"
      735.482.152
    ","
      1 Miliar
    ",US$176.019
Governor DAO,GDAO,"US$0,060739",0.5%,-0.6%,2.2%,5.3%,US$29.095,"
      2.962.391
    ","
      3 Juta
    ",US$178.699
SureRemit,RMT,"US$0,00023850",-0.4%,-1.5%,2.5%,16.4%,"US$9,31","
      746.896.620
    ","
      747 Juta
    ",US$178.135
Finblox,FBX,"US$0,00087127",1.1%,2.0%,-13.5%,-35.4%,US$149.937,"
      203.647.701
    ","
      9,56 Miliar
    ",US$177.604
Xillion,XIL,"US$0,00128493",-0.8%,-0.0%,-7.3%,5.0%,US$15.433,"
      138.184.791
    ","
      250 Juta
    ",US$177.508
Bull Coin,BULL,"US$0,000000000354364",-,-,-,-,-,"
      500.000.000.000.000
    ","
      500 Triliun
    ",US$177.182
Aerarium Fi,AERA,"US$1,68",0.0%,-4.0%,19.0%,21.7%,US$2.183,"
      105.349
    ","
      1 Juta
    ",US$177.378
FusionBot,FUSION,"US$0,176647",-0.1%,-0.7%,-21.5%,-53.7%,US$232,"
      1.000.000
    ","
      1 Juta
    ",US$176.853
Skrumble Network,SKM,"US$0,00016837",1.1%,-0.6%,-5.1%,-4.2%,US$22.074,"
      1.053.679.600
    ","
      1,5 Miliar
    ",US$176.326
PhoenixDAO,PHNX,"US$0,00334639",-0.0%,-2.5%,6.0%,-10.3%,US$5.651,"
      51.897.139
    ","
      110 Juta
    ",US$174.977
TasteNFT,TASTE,"US$0,000000000288216",0.0%,0.0%,-3.1%,-4.1%,"US$3,74","
      606.547.813.374.214
    ","
      1 Quadriliun
    ",US$174.774
Orne,ORNE,"US$0,00633170",0.6%,5.9%,22.8%,-10.6%,US$1.233,"
      27.504.995
    ","
      100 Juta
    ",US$174.164
True PNL,PNL,"US$0,01615210",-2.4%,5.3%,2.9%,-8.1%,US$28.023,"
      10.886.324
    ","
      29,5 Juta
    ",US$173.586
DogeCash,DOGEC,"US$0,00918666",-0.1%,-5.8%,-9.2%,-28.4%,US$328,"
      18.833.689
    ","
      21 Juta
    ",US$173.019
MoveCash,MCA,"US$0,00607193",-,-,-,-,-,"
      27.643.524
    ","
      100 Juta
    ",US$167.851
Snook,SNK,"US$0,00658527",0.3%,-6.9%,-15.3%,-31.1%,US$15.834,"
      26.027.079
    ","
      38,5 Juta
    ",US$171.086
Solarbeam,SOLAR,"US$0,01115131",-0.6%,-2.4%,-7.9%,-13.3%,US$2.421,"
      15.349.162
    ","
      2,5 Juta
    ",US$170.804
Opacity,OPCT,"US$0,00143291",0.6%,1.3%,-3.2%,-5.7%,"US$10,82","
      119.795.868
    ","
      130 Juta
    ",US$170.607
UniX,UNIX,"US$0,00485855",-0.6%,11.9%,3.7%,54.6%,US$313.504,"
      35.055.990
    ","
      1 Miliar
    ",US$170.332
Husky AVAX,HUSKY,"US$0,000000001925",-0.0%,0.9%,0.4%,-8.3%,"US$7,40","
      88.389.478.000.000
    ","
      88,4 Triliun
    ",US$170.185
Yeti Finance,YETI,"US$0,00122687",-0.1%,-0.3%,-2.3%,-20.5%,"US$71,39","
      138.604.573
    ","
      500 Juta
    ",US$170.100
Asian Fintech,AFIN,"US$0,00203933",0.1%,0.4%,0.2%,0.4%,US$3.187,"
      83.120.000
    ","
      500 Juta
    ",US$169.547
Soul Swap,SOUL,"US$0,00116097",-0.3%,-0.3%,1.9%,28.7%,"US$29,21","
      145.956.232
    ","
      146 Juta
    ",US$169.450
Kalao,KLO,"US$0,00120908",1.0%,1.3%,-18.4%,-36.0%,US$51.297,"
      139.926.587
    ","
      500 Juta
    ",US$169.220
Novara Calcio Fan Token,NOV,"US$0,396706",-0.0%,-1.2%,-7.0%,-24.3%,US$16.163,"
      425.124
    ","
      1 Juta
    ",US$169.140
PinkMoon,PINKM,"US$0,000000000437776",-,1.5%,-1.9%,-2.4%,"US$43,66","
      384.806.776.690.964
    ","
      1 Quadriliun
    ",US$168.459
Bitlocus,BTL,"US$0,00038347",-0.0%,4.4%,10.7%,6.8%,US$16.298,"
      436.214.286
    ","
      500 Juta
    ",US$166.846
Xion Finance,XGT,"US$0,00118203",-0.0%,13.0%,14.3%,-32.2%,US$310,"
      140.824.750
    ","
      1 Miliar
    ",US$166.457
Hiveterminal,HVN,"US$0,00045968",-,-,-,-,-,"
      359.644.765
    ","
      500 Juta
    ",US$165.320
disBalancer,DDOS,"US$0,02469476",0.4%,3.9%,-14.1%,-20.1%,US$13.344,"
      6.758.119
    ","
      7,46 Juta
    ",US$166.165
CoinFi,COFI,"US$0,00075752",0.5%,2.8%,-8.9%,8.7%,US$24.150,"
      222.013.565
    ","
      300 Juta
    ",US$166.164
BISO,BISO,"US$0,00079090",-0.5%,-2.1%,1.7%,8.4%,US$315.635,"
      210.000.000
    ","
      210 Juta
    ",US$166.043
SoMee.Social,SOMEE,"US$0,00148354",-,-,-,-,-,"
      110.472.493
    ","
      111 Juta
    ",US$163.891
Defi For You,DFY,"US$0,00028240",-1.0%,-4.5%,-15.4%,21.8%,US$32.210,"
      586.416.468
    ","
      846 Juta
    ",US$165.876
Duckereum,DUCKER,"US$0,00164812",-,-1.5%,-2.0%,-12.5%,US$356,"
      100.000.000
    ","
      100 Juta
    ",US$164.812
Iridium,IRD,"US$0,00629942",-14.4%,-7.8%,-7.7%,-11.1%,US$358,"
      24.132.203
    ","
      25 Juta
    ",US$164.687
Iron Bank,IB,"US$0,866316",0.4%,0.4%,-4.3%,-20.0%,"US$3,02","
      189.844
    ","
      7,31 Juta
    ",US$164.450
Internxt,INXT,"US$0,146977",5.6%,12.7%,10.7%,108.1%,US$264.514,"
      1.119.295
    ","
      1,12 Juta
    ",US$163.336
Equalizer DEX,EQUAL,"US$0,632619",-0.5%,-5.0%,-11.9%,-19.4%,US$6.889,"
      257.944
    ","
      4,53 Juta
    ",US$163.183
Hummingbot,HBOT,"US$0,00274145",-0.3%,-1.4%,13.1%,-20.9%,US$170,"
      59.487.369
    ","
      1 Miliar
    ",US$163.082
Hamachi Finance,HAMI,"US$0,00000827",-0.2%,-0.6%,-11.7%,-31.2%,US$141,"
      19.702.201.947
    ","
      47,4 Miliar
    ",US$162.865
Milky,MILKY,"US$0,00008454",-,-,-,-,-,"
      1.928.683.833
    ","
      1,93 Miliar
    ",US$163.056
SAIL,SAIL,"US$0,00770722",0.0%,11.7%,15.3%,55.3%,US$543,"
      21.000.000
    ","
      21 Juta
    ",US$161.871
Travel Care,TRAVEL,"US$0,00078836",0.0%,1.0%,-4.4%,-12.7%,"US$55,26","
      205.395.017
    ","
      205 Juta
    ",US$161.886
Ston,STON,"US$0,00087102",-1.2%,-1.8%,0.4%,-2.3%,US$10.649,"
      186.755.667
    ","
      370 Juta
    ",US$161.730
PolkaWar,PWAR,"US$0,00225666",-0.9%,-0.6%,-0.3%,16.4%,US$32.138,"
      71.595.848
    ","
      88,8 Juta
    ",US$161.330
eosDAC,EOSDAC,"US$0,00016631",-1.1%,-1.4%,-13.1%,-11.6%,US$28.456,"
      961.919.102
    ","
      1,2 Miliar
    ",US$160.693
Kaizen.Finance,KZEN,"US$0,00121361",0.1%,-0.1%,-0.9%,-12.1%,US$93.490,"
      132.173.699
    ","
      1 Miliar
    ",US$160.373
Golff,GOF,"US$0,01335805",0.5%,2.4%,1.3%,5.7%,US$24.256,"
      11.940.719
    ","
      11,9 Juta
    ",US$160.154
GoWithMi,GMAT,"US$0,00006359",0.3%,-0.7%,-9.5%,-6.7%,US$29.505,"
      2.510.060.000
    ","
      14,9 Miliar
    ",US$159.794
AstroSwap,ASTRO,"US$0,00037116",-0.1%,-2.5%,-1.0%,-7.4%,US$28.781,"
      428.462.821
    ","
      10 Miliar
    ",US$158.940
Dragon Crypto Argenti,DCAR,"US$0,00634629",0.5%,-0.8%,-7.2%,-20.6%,US$540,"
      25.032.748
    ","
      15,6 Juta
    ",US$158.803
Lead,LEAD,"US$0,00034395",-,-,-,-,-,"
      454.310.846
    ","
      964 Juta
    ",US$156.259
Cheems,CHEEMS,"US$0,00006478",0.2%,-0.4%,2.9%,-18.4%,"US$53,04","
      2.442.845.440
    ","
      2,78 Miliar
    ",US$158.208
Shih Tzu,SHIH,"US$0,000000000156810",-,-,-,-,-,"
      1.000.000.000.000.000
    ","
      1 Quadriliun
    ",US$156.810
Litecash,CASH,"US$0,00052495",-0.0%,98.4%,103.7%,92.3%,"US$78,45","
      300.943.500
    ","
      723 Juta
    ",US$157.981
Echain Network,ECT,"US$0,00100593",-0.1%,-6.1%,-19.7%,-26.2%,US$1.797,"
      156.274.175
    ","
      300 Juta
    ",US$157.384
zkSwap Finance,ZF,"US$0,00040389",1.6%,3.6%,-10.7%,-,US$38.882,"
      386.530.405
    ","
      387 Juta
    ",US$156.215
Axis DeFi,AXIS,"US$0,02129056",-0.3%,-6.8%,-10.0%,-20.9%,US$29.272,"
      7.280.180
    ","
      24 Juta
    ",US$155.288
Defi Warrior,FIWA,"US$0,00006862",-0.3%,-1.1%,9.6%,6.3%,US$41.866,"
      2.270.639.660
    ","
      10 Miliar
    ",US$155.269
Froyo Games,FROYO,"US$0,00038276",0.0%,3.4%,1.6%,-26.2%,US$613,"
      404.601.409
    ","
      1 Miliar
    ",US$154.845
DinoSwap,DINO,"US$0,00099425",-0.0%,-0.3%,-1.3%,33.4%,"US$12,54","
      155.456.395
    ","
      175 Juta
    ",US$154.562
Rangers Fan Token,RFT,"US$0,00817887",-1.4%,-1.9%,-2.2%,-21.2%,US$49.002,"
      18.772.654
    ","
      50 Juta
    ",US$154.224
Compendium,CMFI,"US$0,00129479",-0.2%,0.2%,4.9%,18.3%,"US$69,90","
      118.687.666
    ","
      500 Juta
    ",US$153.649
StrongHands Finance,ISHND,"US$0,01060570",0.0%,0.2%,32.0%,0.4%,US$524,"
      14.511.415
    ","
      99,3 Juta
    ",US$153.622
MobiFi,MOFI,"US$0,00175908",-0.2%,-6.5%,-8.2%,-9.8%,US$28.384,"
      87.280.579
    ","
      143 Juta
    ",US$153.570
Tanks,TANKS,"US$0,00018935",-,-,-,-,-,"
      700.000.000
    ","
      1 Miliar
    ",US$132.547
Munt,MUNT,"US$0,00026510",-,-,-,-,-,"
      563.638.191
    ","
      750 Juta
    ",US$149.421
Poseidon,PSDN,"US$0,616734",-,-,-,-,-,"
      242.702
    ","
      1 Juta
    ",US$149.683
Silva,SILVA,"US$0,000000000075821",-6.6%,-0.1%,-18.3%,-0.8%,US$1.651,"
      2.000.000.000.000.000
    ","
      2 Quadriliun
    ",US$151.736
Statera,STA,"US$0,00185724",-,-,-,-,-,"
      78.574.772
    ","
      78,6 Juta
    ",US$145.933
Alpaca City,ALPA,"US$0,01382766",-0.0%,-1.5%,-6.2%,-9.3%,US$33.689,"
      10.922.261
    ","
      22,3 Juta
    ",US$151.076
Wefi Finance,WEFI,"US$0,04965814",-0.0%,17.4%,23.3%,-44.4%,US$123.517,"
      3.041.679
    ","
      100 Juta
    ",US$151.000
AlgoBlocks,ALGOBLK,"US$0,00173365",-0.3%,-0.1%,-7.6%,-18.9%,US$25.660,"
      86.539.609
    ","
      188 Juta
    ",US$150.821
Krida Fans,KRIDA,"US$0,00804688",0.2%,0.1%,-0.1%,-2.5%,US$112.258,"
      18.705.090
    ","
      100 Juta
    ",US$150.269
Sunny Aggregator,SUNNY,"US$0,00002546",0.2%,-5.4%,0.8%,-18.4%,US$82.587,"
      5.890.046.154
    ","
      255 Juta
    ",US$149.684
TribeOne,HAKA,"US$0,00482228",-0.6%,-1.4%,-11.3%,-22.5%,US$16.873,"
      30.928.347
    ","
      188 Juta
    ",US$149.452
CATO,CATO,"US$0,00085500",-0.2%,-0.8%,0.1%,-14.7%,"US$0,02446084","
      172.000.000
    ","
      300 Juta
    ",US$147.370
MediShares,MDS,"US$0,00012857",0.1%,-7.4%,-1.6%,2.7%,US$24.622,"
      1.142.499.750
    ","
      2 Miliar
    ",US$146.858
Peruvian National Football Team Fan Token,FPFT,"US$0,00639765",0.0%,-0.7%,3.8%,-18.2%,US$112.795,"
      22.907.299
    ","
      97,9 Juta
    ",US$146.178
BlockCDN,BCDN,"US$0,00042583",0.2%,-1.7%,0.2%,-15.4%,US$24.952,"
      346.445.343
    ","
      1 Miliar
    ",US$146.101
The HUSL,HUSL,"US$0,00917402",-0.0%,-5.7%,-12.4%,-38.0%,US$1.834,"
      15.844.562
    ","
      70 Juta
    ",US$145.443
ACoconut,AC,"US$0,072016",-0.0%,2.4%,2.4%,-11.3%,"US$16,06","
      2.015.895
    ","
      6,3 Juta
    ",US$145.137
Gas DAO,GAS,"US$0,000000550215",0.1%,-6.1%,4.8%,-8.1%,US$321.336,"
      257.644.794.515
    ","
      1 Triliun
    ",US$143.955
Rito,RITO,"US$0,00007874",-0.0%,-0.8%,-3.9%,0.3%,"US$9,64","
      1.810.076.625
    ","
      2,03 Miliar
    ",US$142.531
FoxGirl,FOXGIRL,"US$0,000000001279",-,-,-,-,-,"
      100.000.000.000.000
    ","
      100 Triliun
    ",US$127.896
DOS Network,DOS,"US$0,00106818",-4.1%,-8.3%,-18.8%,-19.9%,US$291.651,"
      132.036.278
    ","
      1 Miliar
    ",US$141.173
CryptoTanks,TANK,"US$0,00165820",-0.5%,1.0%,-12.5%,-20.6%,US$39.644,"
      84.525.000
    ","
      100 Juta
    ",US$139.683
Linked Finance World,LFW,"US$0,00844642",0.1%,0.3%,-7.2%,-1.1%,US$60.954,"
      16.486.408
    ","
      200 Juta
    ",US$139.425
Formation FI,FORM,"US$0,00084813",-1.5%,-4.1%,-16.6%,-19.9%,US$42.603,"
      163.798.780
    ","
      1 Miliar
    ",US$138.954
Investin,IVN,"US$0,04639585",-,-,-,-,-,"
      2.930.000
    ","
      9 Juta
    ",US$135.940
Evedo,EVED,"US$0,00918666",-0.1%,-0.8%,-11.4%,6.3%,US$37.583,"
      15.018.222
    ","
      17,8 Juta
    ",US$137.967
Polylauncher,ANGEL,"US$0,00178889",-,-1.3%,-1.9%,-3.5%,"US$6,44","
      77.030.300
    ","
      200 Juta
    ",US$137.799
President Ron DeSantis,RON,"US$0,00014003",-0.1%,18.3%,-13.5%,-31.7%,US$2.462,"
      982.200.000
    ","
      1 Miliar
    ",US$137.698
Crolon Mars,CLMRS,"US$0,00022489",0.0%,0.9%,-17.9%,-47.8%,"US$93,51","
      610.494.317
    ","
      1 Miliar
    ",US$137.294
APY.Finance,APY,"US$0,00205928",-0.1%,-1.5%,-8.9%,-10.1%,"US$13,08","
      66.469.950
    ","
      100 Juta
    ",US$137.008
Paypolitan,EPAN,"US$0,00280347",4.8%,4.3%,-9.2%,-44.6%,US$91.083,"
      44.981.076
    ","
      94,7 Juta
    ",US$136.731
Mist,MIST,"US$0,00242993",0.2%,-1.6%,-12.4%,-36.2%,US$34.852,"
      56.357.088
    ","
      1 Miliar
    ",US$136.592
Canxium,CAU,"US$0,489736",1.2%,21.5%,-13.0%,-,US$37.585,"
      281.493
    ","
      372 Ribu
    ",US$136.309
Vault Hill City,VHC,"US$0,00138781",-,-,-,-,-,"
      97.736.608
    ","
      340 Juta
    ",US$135.640
SuperRareBears RARE,RARE,"US$0,00967796",0.2%,-2.2%,4.9%,-10.2%,US$1.024,"
      13.957.300
    ","
      48,7 Juta
    ",US$134.961
Vera,VERA,"US$0,00073038",0.1%,-1.5%,-6.7%,-2.6%,US$90.239,"
      190.749.900
    ","
      1 Miliar
    ",US$133.949
Delphy,DPY,"US$0,00218596",-0.3%,0.5%,-1.2%,7.0%,US$28.757,"
      60.903.968
    ","
      100 Juta
    ",US$133.723
SONM,SNM,"US$0,00301156",-0.0%,-3.2%,-67.7%,-77.4%,US$31.330,"
      44.400.000
    ","
      44,4 Juta
    ",US$133.676
Helmet Insure,HELMET,"US$0,00313297",-,-,-,-,-,"
      42.464.929
    ","
      100 Juta
    ",US$133.041
Covesting,COV,"US$0,00708685",-0.0%,-4.5%,-98.1%,-65.0%,"US$33,21","
      18.725.534
    ","
      18,7 Juta
    ",US$132.705
Uniwhale,UNW,"US$0,01581432",-0.2%,0.7%,-19.3%,-32.8%,US$117.502,"
      8.372.964
    ","
      8,91 Juta
    ",US$132.376
Ethermon,EMON,"US$0,00089973",0.1%,-4.5%,-35.8%,-15.1%,US$15.377,"
      147.026.673
    ","
      400 Juta
    ",US$132.187
Qbao,QBT,"US$0,00195395",-0.1%,0.1%,-8.5%,-6.7%,US$28.118,"
      67.444.595
    ","
      100 Juta
    ",US$132.106
NOOT (Ordinals),NOOT,"US$0,00012960",-2.4%,2.0%,-12.2%,-8.9%,US$18.224,"
      1.000.000.000
    ","
      1 Miliar
    ",US$132.070
Crodex,CRX,"US$1,32",-0.5%,-1.3%,0.6%,3.9%,"US$85,49","
      100.000
    ","
      100 Ribu
    ",US$131.981
Zeusshield,ZSC,"US$0,00006781",-0.0%,-4.0%,-16.3%,25.7%,US$24.578,"
      1.960.019.216
    ","
      5,64 Miliar
    ",US$131.763
OTCBTC,OTB,"US$0,00183733",-0.0%,-0.7%,-3.9%,17.0%,US$7.830,"
      71.612.735
    ","
      199 Juta
    ",US$131.576
Galaxy Fight Club,GCOIN,"US$0,00428797",0.2%,-0.7%,-4.0%,-8.1%,US$20.098,"
      30.611.374
    ","
      150 Juta
    ",US$130.663
Obortech,OBOT,"US$0,00078743",-0.0%,-0.5%,-87.1%,-88.2%,"US$5,25","
      165.000.000
    ","
      300 Juta
    ",US$129.926
FansTime,FTI,"US$0,00002038",1.6%,0.9%,-4.0%,-10.3%,US$127.722,"
      6.350.000.000
    ","
      10 Miliar
    ",US$129.732
Catbonk,CABO,"US$0,000000000340972",-,-,-,-,-,"
      337.669.986.633.158
    ","
      1 Quadriliun
    ",US$115.192
Kangal,KANGAL,"US$0,00000129",-0.1%,1.1%,-0.5%,-11.0%,"US$12,15","
      100.000.000.000
    ","
      100 Miliar
    ",US$129.450
DOGECOLA,DOGECOLA,"US$0,00130190",1.3%,-4.3%,7.5%,-1.5%,US$44.246,"
      100.000.000
    ","
      100 Juta
    ",US$129.461
AppleSwap AI,AP,"US$0,00119169",-,-,-,-,-,"
      96.500.000
    ","
      96,5 Juta
    ",US$114.998
Argon,ARGON,"US$0,00187353",1.5%,-23.9%,-37.7%,49.0%,US$64.304,"
      68.396.812
    ","
      100 Juta
    ",US$128.581
Masari,MSR,"US$0,00734933",-0.0%,-7.5%,-5.5%,65.1%,US$310,"
      17.476.853
    ","
      18,5 Juta
    ",US$128.443
Trivians,TRIVIA,"US$0,00076287",-0.1%,0.1%,-7.3%,-22.5%,US$117.935,"
      167.910.255
    ","
      1 Miliar
    ",US$127.871
UNION Protocol Governance,UNN,"US$0,00020740",-0.2%,-0.2%,-4.8%,-17.9%,US$29.277,"
      615.060.533
    ","
      1 Miliar
    ",US$127.275
Pacoca,PACOCA,"US$0,00032900",-0.1%,0.6%,-4.1%,-18.4%,US$151,"
      385.741.277
    ","
      179 Juta
    ",US$126.883
Rare FND,FND,"US$0,00056728",0.3%,-2.1%,-29.9%,47.2%,US$172.436,"
      222.797.091
    ","
      325 Juta
    ",US$126.218
Infam,INF,"US$0,074468",-,-,-,-,-,"
      1.693.603
    ","
      10 Juta
    ",US$126.120
FIRA,FIRA,"US$0,00597854",-0.0%,-2.4%,-9.1%,-71.0%,US$2.378,"
      21.050.743
    ","
      100 Juta
    ",US$125.852
OolongSwap,OLO,"US$0,00004558",-,-,-,-,-,"
      2.740.247.015
    ","
      3,82 Miliar
    ",US$124.914
Lucha,LUCHA,"US$0,01636495",-0.0%,-0.9%,-0.7%,-2.7%,US$1.471,"
      7.671.733
    ","
      7,67 Juta
    ",US$125.559
PlayNity,PLY,"US$0,00154250",-,-,-,-,-,"
      80.717.196
    ","
      129 Juta
    ",US$124.506
AnchorSwap,ANCHOR,"US$0,00059847",-0.0%,-0.2%,15.3%,-5.2%,"US$0,925471","
      208.170.217
    ","
      249 Juta
    ",US$124.661
Energyfi,EFT,"US$0,00087392",-,-,-,-,-,"
      127.769.220
    ","
      150 Juta
    ",US$111.660
BITT,BITT,"US$0,01281915",-,-,-,-,-,"
      9.699.610
    ","
      42 Juta
    ",US$124.341
ZeusAiTrading,ZAT,"US$0,00028692",-0.1%,-0.2%,-17.8%,-,US$2.488,"
      431.512.375
    ","
      1 Miliar
    ",US$123.957
Marginswap,MFI,"US$0,01750622",-0.2%,-1.8%,-4.1%,-4.2%,"US$95,50","
      7.052.148
    ","
      10 Juta
    ",US$123.456
TosDis,DIS,"US$1,65",0.9%,-4.3%,3.5%,-1.3%,US$29.601,"
      74.998
    ","
      99,9 Ribu
    ",US$123.318
Royale,ROYA,"US$0,00304387",-0.0%,0.9%,-28.7%,-33.5%,"US$38,08","
      40.465.274
    ","
      72 Juta
    ",US$123.171
Wizardia,WZRD,"US$0,00117256",-0.0%,1.8%,-11.0%,-20.7%,US$34.769,"
      105.126.241
    ","
      300 Juta
    ",US$123.029
Chain of Legends,CLEG,"US$0,00201223",-0.2%,-5.3%,2.7%,-11.5%,US$2.861,"
      60.134.197
    ","
      776 Juta
    ",US$122.673
Centric Swap,CNS,"US$0,00000182",0.9%,-1.7%,-1.4%,-13.0%,US$137.580,"
      69.215.278.599
    ","
      69,2 Miliar
    ",US$122.638
Kassandra,KACY,"US$0,050263",-0.1%,-2.7%,13.7%,-2.9%,US$1.160,"
      2.432.963
    ","
      9,6 Juta
    ",US$122.323
Structure Finance,STF,"US$0,00563554",-0.5%,0.1%,0.8%,-4.0%,US$107.022,"
      21.718.781
    ","
      100 Juta
    ",US$121.984
Swingby,SWINGBY,"US$0,00029398",-0.6%,13.9%,-58.4%,-80.8%,US$76.784,"
      450.258.441
    ","
      1 Miliar
    ",US$121.712
Equilibria,XEQ,"US$0,00199985",-1.3%,-31.3%,-18.6%,9.2%,"US$1,18","
      60.881.608
    ","
      84 Juta
    ",US$121.664
Crown,CRW,"US$0,00378123",-0.1%,-2.9%,-4.3%,-1.3%,US$146,"
      32.059.486
    ","
      42 Juta
    ",US$121.224
Seigniorage Shares,SHARE,"US$0,00628709",0.9%,-0.4%,-8.6%,-12.2%,US$29.166,"
      19.403.625
    ","
      21 Juta
    ",US$120.937
Ternio,TERN,"US$0,00027943",0.6%,3.1%,-0.6%,-25.0%,"US$31,07","
      432.891.691
    ","
      1 Miliar
    ",US$120.963
Racing Club Fan Token,RACING,"US$0,276597",1.2%,-3.2%,-15.6%,-17.5%,US$10.719,"
      441.602
    ","
      5 Juta
    ",US$120.616
PlusOneCoin,PLUS1,"US$0,00971161",-0.0%,-19.0%,-58.2%,14.2%,US$160,"
      12.360.309
    ","
      26,4 Juta
    ",US$120.039
Fortuna Sittard Fan Token,FOR,"US$0,611517",0.4%,-0.3%,-7.3%,14.8%,US$23.349,"
      195.868
    ","
      1 Juta
    ",US$119.777
Gitcoin Staked ETH Index,GTCETH,"US$1.612,40",-,-,-,-,-,"
      73
    ","
      72,8
    ",US$117.415
Bitindi Chain,BNI,"US$0,00347634",-0.0%,-0.1%,-8.8%,-29.8%,US$89.032,"
      34.250.000
    ","
      50 Juta
    ",US$119.134
GOGOcoin,GOGO,"US$0,00698757",0.0%,-1.2%,-2.0%,-9.1%,"US$18,15","
      16.964.040
    ","
      100 Juta
    ",US$118.593
Graviocoin,GIO,"US$0,00735022",-3.5%,-3.9%,-4.6%,-14.9%,"US$0,00131442","
      16.090.782
    ","
      17,3 Juta
    ",US$118.271
FintruX,FTX,"US$0,00141556",-0.2%,-1.8%,-5.1%,0.7%,"US$61,74","
      83.351.199
    ","
      100 Juta
    ",US$117.989
0xMonero,0XMR,"US$0,063098",-0.1%,-0.6%,-9.5%,22.2%,"US$15,44","
      1.865.250
    ","
      1,87 Juta
    ",US$117.811
AquariusCoin,ARCO,"US$0,02653606",-,-,-,-,-,"
      4.403.745
    ","
      42 Juta
    ",US$116.858
Myriad,XMY,"US$0,00006299",-4.1%,-4.5%,-7.7%,-27.2%,US$1.141,"
      1.853.491.250
    ","
      2 Miliar
    ",US$116.759
GeoDB,GEO,"US$0,00076259",-,-,-,-,-,"
      146.520.342
    ","
      350 Juta
    ",US$111.735
Cryptonovae,YAE,"US$0,00144557",-,-,-,-,-,"
      79.467.583
    ","
      100 Juta
    ",US$114.638
FINXFLO,FXF,"US$0,00120839",0.2%,1.2%,3.1%,-12.5%,US$29.316,"
      96.000.000
    ","
      150 Juta
    ",US$116.065
Endpoint Cex Fan Token,ENDCEX,"US$0,225204",-0.4%,-1.1%,-5.6%,-25.3%,US$8.732,"
      512.609
    ","
      5 Juta
    ",US$116.034
Polkarare,PRARE,"US$0,00234720",-0.1%,-1.0%,-2.3%,-19.0%,US$27.790,"
      49.048.817
    ","
      100 Juta
    ",US$115.838
TEN,TENFI,"US$0,00225954",-0.1%,-0.1%,4.4%,-17.7%,"US$20,84","
      51.117.817
    ","
      134 Juta
    ",US$115.574
EternalFlow,EFT,"US$0,000000000269913",-,-,-,-,-,"
      381.900.076.516.682
    ","
      398 Triliun
    ",US$103.080
NASDEX,NSDX,"US$0,100940",0.0%,0.1%,0.5%,-20.7%,US$179.100,"
      1.136.429
    ","
      100 Juta
    ",US$114.647
Merge,MERGE,"US$0,00136494",-0.1%,-3.0%,-2.3%,14.6%,"US$1,65","
      83.598.621
    ","
      100 Juta
    ",US$114.107
Berry Data,BRY,"US$0,01781952",0.0%,5.6%,-3.2%,-6.4%,US$30.065,"
      6.412.985
    ","
      10 Juta
    ",US$113.817
Blocksport,BSPT,"US$0,00121085",-0.4%,6.7%,0.4%,22.5%,US$109.920,"
      93.603.393
    ","
      1 Miliar
    ",US$113.749
Bezoge Earth,BEZOGE,"US$0,000000000002781",-,-,-,-,-,"
      40.934.445.949.268.671
    ","
      100 Quadriliun
    ",US$113.830
NFTify,N1,"US$0,00558017",-0.1%,0.2%,-2.7%,0.2%,"US$5,59","
      20.362.031
    ","
      200 Juta
    ",US$113.694
CropperFinance,CRP,"US$0,00165173",0.8%,-3.0%,-2.7%,15.0%,US$27.115,"
      70.000.000
    ","
      500 Juta
    ",US$113.480
Oikos,OKS,"US$0,00045407",-,-,-,-,-,"
      245.707.622
    ","
      249 Juta
    ",US$111.568
